QuerySId;SessionSId;UserSId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;RED;Edit index;Jaccard index;Cosine index;Common fragments index;Common tables index;Vote;ExplorationSId;GroundTruth;ChangeSession
601;11;6;3;1;2;2;5;2;1;1;2;4;-0.548186571;-0.482180492;1.107176568;-1.283331079;-1.05314783;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;2;0.8;0.75;0.944911182523068;0.6;0.5;1;12;0;0
602;11;6;2;1;1;2;4;1;1;0;2;3;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-1.705028807;-0.837177437;-1.183035795;6;0.4;0.4;0.944911182523068;0.4;0.5;1;12;0;0
603;11;6;2;1;1;2;4;1;0;1;1;1;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-0.249101305;-1.701923834;-1.753487593;6;0.4;0.333333333333333;0.901387818865997;0.3;0.25;1;12;0;0
604;11;6;2;1;1;2;4;1;0;1;1;1;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-0.249101305;-1.701923834;-1.753487593;6;0.4;0.333333333333333;1;0.3;0.25;1;12;0;0
605;11;6;2;1;1;2;4;1;0;1;1;1;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-0.249101305;-1.701923834;-1.753487593;6;0.4;0.333333333333333;1;0.3;0.25;1;12;0;0
606;11;6;2;1;1;2;4;1;0;1;1;1;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-0.249101305;-1.701923834;-1.753487593;6;0.4;0.333333333333333;1;0.3;0.25;1;12;0;0
607;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;3;0.7;0.666666666666667;0.965609099170535;0.6;0.5;1;12;0;0
608;11;6;2;1;1;2;4;2;1;1;2;4;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;3;0.7;0.666666666666667;0.973123680201904;0.6;0.5;1;12;0;0
609;11;6;2;1;1;2;4;1;0;1;1;1;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-0.249101305;-1.701923834;-1.753487593;6;0.4;0.333333333333333;0.930260509419063;0.3;0.25;1;12;0;0
610;11;6;3;2;1;3;7;1;1;0;2;3;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-1.539465148;-0.442326484;-1.705028807;-0.837177437;-1.183035795;7;0.3;0.363636363636364;0.927047164724288;0.4;0.5;1;12;0;0
611;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;0.969762275752854;0.6;0.5;1;12;0;0
612;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;1;0.6;0.5;1;12;0;0
613;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;1;0.6;0.5;1;12;0;0
614;11;6;4;3;1;4;10;3;2;1;3;7;0.332092548;-0.482180492;-0.575946454;0.721008415;0.600744206;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;3;0.7;0.75;0.99321708930132;0.9;0.75;0;12;0;0
