exploration0	0,0|0,0|1,0|2,0|3,0|4,0|5,0|6,0|7,0|8,0|9,0|10,0|11,0|12,0|13,0|14,0|15,0|16,0|17,0|18,0|19,0|20,0|21,0|22,0|23,0|24,0|25,0|26,0|27,0|28,0|29,0|30,0|31,0|32,0|
exploration1	0,1|33,1|34,1|35,1|36,1|37,1|38,1|39,1|40,1|41,1|42,1|43,1|
exploration2	0,2|44,2|45,2|46,2|47,2|48,2|49,2|50,2|51,2|52,2|53,2|54,2|55,2|56,2|57,2|58,2|59,2|60,2|61,2|62,2|63,2|64,2|65,2|66,2|67,2|68,2|69,2|70,2|71,2|72,2|73,2|74,2|75,2|76,2|77,2|78,2|79,2|80,2|81,2|82,2|83,2|84,2|85,2|86,2|87,2|88,2|89,2|90,2|91,2|92,2|93,2|94,2|95,2|96,2|97,2|98,2|99,2|100,2|101,2|102,2|103,2|104,2|105,2|106,2|107,2|108,2|109,2|110,2|111,2|112,2|113,2|114,2|115,2|116,2|117,2|118,2|119,2|120,2|121,2|122,2|123,2|124,2|125,2|126,2|127,2|128,2|129,2|130,2|131,2|132,2|133,2|134,2|135,2|136,2|137,2|138,2|139,2|
exploration3	0,3|140,3|
exploration4	0,4|141,4|142,4|143,4|144,4|145,4|146,4|147,4|148,4|149,4|150,4|151,4|152,4|
exploration5	0,5|153,5|154,5|155,5|156,5|
exploration6	0,6|157,6|158,6|159,6|160,6|161,6|162,6|163,6|164,6|165,6|166,6|167,6|168,6|169,6|170,6|171,6|
exploration7	0,7|172,7|173,7|174,7|175,7|176,7|177,7|178,7|179,7|180,7|181,7|182,7|183,7|
exploration8	0,8|184,8|185,8|186,8|187,8|188,8|189,8|190,8|191,8|192,8|193,8|194,8|195,8|196,8|197,8|198,8|199,8|200,8|201,8|202,8|203,8|204,8|205,8|206,8|207,8|208,8|209,8|210,8|211,8|212,8|213,8|214,8|215,8|216,8|217,8|218,8|219,8|220,8|221,8|222,8|223,8|224,8|225,8|226,8|227,8|228,8|229,8|230,8|231,8|232,8|233,8|234,8|235,8|236,8|237,8|238,8|239,8|240,8|241,8|242,8|243,8|244,8|245,8|246,8|247,8|248,8|249,8|250,8|251,8|252,8|253,8|254,8|255,8|256,8|257,8|258,8|259,8|260,8|261,8|262,8|263,8|264,8|265,8|266,8|267,8|268,8|269,8|270,8|271,8|272,8|273,8|274,8|275,8|276,8|277,8|278,8|279,8|280,8|281,8|282,8|
exploration9	0,9|283,9|
exploration10	0,10|284,10|285,10|286,10|287,10|288,10|289,10|290,10|291,10|292,10|293,10|294,10|295,10|296,10|297,10|298,10|
exploration11	0,11|299,11|300,11|
exploration12	0,12|301,12|302,12|303,12|
exploration13	0,13|304,13|305,13|306,13|307,13|308,13|
exploration14	0,14|309,14|310,14|
exploration15	0,15|311,15|312,15|
exploration16	0,16|313,16|314,16|315,16|
exploration17	0,17|316,17|317,17|318,17|319,17|320,17|
exploration18	0,18|321,18|322,18|323,18|324,18|325,18|326,18|327,18|328,18|329,18|330,18|331,18|332,18|333,18|334,18|335,18|336,18|337,18|338,18|339,18|340,18|341,18|342,18|343,18|344,18|345,18|346,18|347,18|348,18|349,18|350,18|351,18|352,18|353,18|354,18|355,18|356,18|
exploration19	0,19|357,19|358,19|359,19|360,19|361,19|362,19|
exploration20	0,20|363,20|
exploration21	0,21|364,21|365,21|366,21|367,21|
exploration22	0,22|368,22|369,22|370,22|371,22|372,22|373,22|374,22|
exploration23	0,23|375,23|
exploration24	0,24|376,24|377,24|378,24|379,24|380,24|381,24|
exploration25	0,25|382,25|383,25|384,25|385,25|386,25|387,25|388,25|389,25|390,25|391,25|392,25|393,25|394,25|395,25|
exploration26	0,26|396,26|397,26|398,26|399,26|400,26|401,26|402,26|403,26|404,26|405,26|406,26|
exploration27	0,27|407,27|408,27|409,27|410,27|411,27|412,27|413,27|414,27|415,27|416,27|417,27|418,27|419,27|420,27|421,27|422,27|423,27|424,27|425,27|426,27|427,27|428,27|429,27|430,27|431,27|432,27|433,27|434,27|435,27|436,27|437,27|438,27|439,27|440,27|441,27|442,27|443,27|
exploration28	0,28|444,28|445,28|446,28|447,28|448,28|449,28|450,28|451,28|452,28|
exploration29	0,29|453,29|454,29|455,29|456,29|457,29|
exploration30	0,30|458,30|459,30|460,30|461,30|462,30|463,30|464,30|465,30|
exploration31	0,31|466,31|467,31|
exploration32	0,32|468,32|469,32|470,32|
exploration33	0,33|471,33|472,33|473,33|
exploration34	0,34|474,34|475,34|476,34|477,34|478,34|479,34|480,34|481,34|
exploration35	0,35|482,35|483,35|484,35|
exploration36	0,36|485,36|486,36|
exploration37	0,37|487,37|488,37|489,37|490,37|491,37|492,37|493,37|494,37|495,37|496,37|497,37|498,37|499,37|500,37|501,37|502,37|
exploration38	0,38|503,38|504,38|505,38|506,38|507,38|508,38|509,38|510,38|511,38|512,38|513,38|514,38|515,38|516,38|517,38|518,38|519,38|520,38|521,38|522,38|523,38|524,38|525,38|526,38|527,38|528,38|529,38|530,38|531,38|532,38|533,38|534,38|535,38|536,38|537,38|538,38|539,38|540,38|541,38|542,38|543,38|544,38|545,38|546,38|547,38|548,38|549,38|550,38|551,38|552,38|553,38|554,38|555,38|
exploration39	0,39|556,39|557,39|558,39|559,39|560,39|561,39|
exploration40	0,40|562,40|
exploration41	0,41|563,41|564,41|565,41|566,41|567,41|568,41|
exploration42	0,42|569,42|570,42|571,42|572,42|573,42|574,42|575,42|576,42|577,42|578,42|579,42|580,42|581,42|
exploration43	0,43|582,43|583,43|584,43|585,43|586,43|587,43|
exploration44	0,44|592,44|593,44|594,44|595,44|596,44|597,44|598,44|
exploration45	0,45|599,45|
exploration46	0,46|600,46|601,46|602,46|
exploration47	0,47|603,47|
