exploration1	0,1|1,1|2,1|3,1|4,1|5,1|6,1|7,1|8,1|9,1|10,1|11,1|12,1|13,1|14,1|15,1|16,1|17,1|18,1|19,1|20,1|21,1|22,1|23,1|24,1|25,1|26,1|27,1|28,1|29,1|30,1|31,1|32,1|33,1|34,1|35,1|36,1|37,1|38,1|39,1|40,1|41,1|42,1|43,1|44,1|45,1|46,1|47,1|48,1|49,1|50,1|51,1|52,1|53,1|
exploration2	0,2|54,2|55,2|56,2|57,2|58,2|59,2|60,2|61,2|62,2|63,2|64,2|65,2|66,2|67,2|68,2|69,2|70,2|71,2|72,2|73,2|74,2|75,2|76,2|77,2|78,2|79,2|80,2|81,2|82,2|83,2|84,2|85,2|86,2|87,2|88,2|89,2|90,2|91,2|92,2|93,2|94,2|95,2|96,2|97,2|98,2|99,2|100,2|101,2|102,2|103,2|104,2|105,2|106,2|107,2|108,2|109,2|110,2|111,2|112,2|113,2|114,2|115,2|116,2|117,2|118,2|119,2|120,2|121,2|122,2|123,2|124,2|125,2|126,2|127,2|128,2|
exploration3	0,3|129,3|130,3|131,3|132,3|133,3|134,3|135,3|136,3|137,3|138,3|139,3|140,3|141,3|142,3|143,3|144,3|145,3|146,3|147,3|148,3|149,3|150,3|151,3|152,3|153,3|154,3|155,3|156,3|
exploration4	0,4|157,4|158,4|159,4|160,4|161,4|162,4|163,4|164,4|165,4|166,4|167,4|168,4|169,4|170,4|
exploration5	0,5|171,5|172,5|173,5|174,5|175,5|176,5|177,5|178,5|179,5|180,5|181,5|182,5|183,5|184,5|185,5|186,5|187,5|188,5|189,5|190,5|191,5|192,5|193,5|194,5|195,5|196,5|197,5|198,5|199,5|200,5|201,5|202,5|203,5|204,5|205,5|206,5|207,5|208,5|209,5|210,5|211,5|212,5|213,5|214,5|215,5|216,5|217,5|218,5|219,5|220,5|221,5|222,5|223,5|224,5|225,5|226,5|227,5|228,5|229,5|230,5|231,5|232,5|233,5|234,5|235,5|236,5|237,5|238,5|239,5|
exploration6	0,6|240,6|241,6|242,6|243,6|244,6|245,6|246,6|247,6|248,6|249,6|250,6|251,6|252,6|253,6|254,6|255,6|256,6|257,6|258,6|259,6|260,6|261,6|262,6|263,6|264,6|265,6|266,6|267,6|268,6|269,6|270,6|271,6|272,6|273,6|274,6|275,6|276,6|277,6|278,6|279,6|280,6|281,6|282,6|283,6|284,6|285,6|286,6|287,6|288,6|289,6|290,6|291,6|292,6|293,6|294,6|295,6|296,6|
exploration7	0,7|297,7|298,7|299,7|300,7|301,7|302,7|303,7|304,7|305,7|306,7|307,7|308,7|309,7|310,7|311,7|312,7|313,7|314,7|315,7|316,7|317,7|318,7|319,7|320,7|321,7|322,7|323,7|324,7|325,7|326,7|327,7|328,7|329,7|330,7|331,7|332,7|
exploration8	0,8|333,8|334,8|335,8|336,8|337,8|338,8|339,8|340,8|341,8|342,8|343,8|344,8|
exploration9	0,9|345,9|346,9|347,9|348,9|349,9|350,9|351,9|352,9|353,9|354,9|355,9|356,9|357,9|358,9|359,9|360,9|361,9|362,9|363,9|364,9|365,9|366,9|367,9|368,9|369,9|370,9|371,9|372,9|373,9|374,9|375,9|376,9|377,9|378,9|379,9|380,9|381,9|382,9|383,9|384,9|385,9|386,9|387,9|388,9|389,9|390,9|391,9|392,9|393,9|394,9|395,9|396,9|397,9|398,9|399,9|400,9|401,9|402,9|403,9|404,9|405,9|406,9|407,9|408,9|409,9|410,9|411,9|412,9|413,9|414,9|415,9|416,9|417,9|418,9|419,9|420,9|421,9|422,9|423,9|424,9|425,9|426,9|427,9|428,9|429,9|430,9|431,9|432,9|433,9|434,9|435,9|436,9|437,9|438,9|439,9|440,9|441,9|442,9|443,9|444,9|445,9|446,9|447,9|448,9|449,9|450,9|451,9|452,9|453,9|454,9|455,9|456,9|457,9|458,9|459,9|460,9|461,9|462,9|463,9|464,9|465,9|466,9|467,9|468,9|469,9|470,9|471,9|472,9|473,9|474,9|475,9|476,9|477,9|478,9|479,9|480,9|481,9|482,9|483,9|484,9|485,9|486,9|487,9|488,9|489,9|490,9|491,9|492,9|493,9|494,9|495,9|496,9|497,9|498,9|499,9|500,9|501,9|502,9|503,9|504,9|505,9|506,9|507,9|508,9|509,9|510,9|511,9|512,9|513,9|514,9|515,9|516,9|
exploration10	0,10|517,10|518,10|519,10|520,10|521,10|522,10|523,10|524,10|525,10|526,10|527,10|528,10|529,10|530,10|531,10|532,10|533,10|534,10|535,10|536,10|537,10|538,10|539,10|540,10|541,10|542,10|543,10|544,10|545,10|546,10|547,10|
